ID,left_file,right_file,left_category,right_category,left_flicker_Hz,right_flicker_Hz,left_swift_Hz,right_swift_Hz
1,face_01_swift_1000mHz,house_01_swift_1200mHz,face,house,12,15,1,1.2
2,face_01_swift_1200mHz,house_01_swift_1000mHz,face,house,12,15,1.2,1
3,face_01_swift_1000mHz,house_01_swift_1200mHz,face,house,15,12,1,1.2
4,face_01_swift_1200mHz,house_01_swift_1000mHz,face,house,15,12,1.2,1
5,house_01_swift_1200mHz,face_01_swift_1000mHz,house,face,12,15,1.2,1
6,house_01_swift_1000mHz,face_01_swift_1200mHz,house,face,12,15,1,1.2
7,house_01_swift_1200mHz,face_01_swift_1000mHz,house,face,15,12,1.2,1
8,house_01_swift_1000mHz,face_01_swift_1200mHz,house,face,15,12,1,1.2
9,face_02_swift_1000mHz,house_02_swift_1200mHz,face,house,12,15,1,1.2
10,face_02_swift_1200mHz,house_02_swift_1000mHz,face,house,12,15,1.2,1
11,face_02_swift_1000mHz,house_02_swift_1200mHz,face,house,15,12,1,1.2
12,face_02_swift_1200mHz,house_02_swift_1000mHz,face,house,15,12,1.2,1
13,house_02_swift_1200mHz,face_02_swift_1000mHz,house,face,12,15,1.2,1
14,house_02_swift_1000mHz,face_02_swift_1200mHz,house,face,12,15,1,1.2
15,house_02_swift_1200mHz,face_02_swift_1000mHz,house,face,15,12,1.2,1
16,house_02_swift_1000mHz,face_02_swift_1200mHz,house,face,15,12,1,1.2
17,face_03_swift_1000mHz,house_03_swift_1200mHz,face,house,12,15,1,1.2
18,face_03_swift_1200mHz,house_03_swift_1000mHz,face,house,12,15,1.2,1
19,face_03_swift_1000mHz,house_03_swift_1200mHz,face,house,15,12,1,1.2
20,face_03_swift_1200mHz,house_03_swift_1000mHz,face,house,15,12,1.2,1
21,house_03_swift_1200mHz,face_03_swift_1000mHz,house,face,12,15,1.2,1
22,house_03_swift_1000mHz,face_03_swift_1200mHz,house,face,12,15,1,1.2
23,house_03_swift_1200mHz,face_03_swift_1000mHz,house,face,15,12,1.2,1
24,house_03_swift_1000mHz,face_03_swift_1200mHz,house,face,15,12,1,1.2
25,face_04_swift_1000mHz,house_04_swift_1200mHz,face,house,12,15,1,1.2
